"Client Error (4xx) Inlinks"
"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow"
"AHREF","https://stg-www.worldvision.ca/","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/accessibility","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/terms-and-conditions","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/about-cookies","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/about-us","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/about-us/financial-accountability","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/privacy-and-security","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/donating-to-world-vision","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/sponsor-a-child","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/site-map","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/sponsor-a-child/support-centre","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/just-act","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/stories/advocacy/tips-for-youth-advocates","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/stories","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/get-involved","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/stories/charitable-giving/fred-penner-somebody-believes-sponsored-child","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/about-us/careers","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/impact-global","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/about-us/contact-us","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/stories/advocacy/gender-equality-warriors","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/stories/gender-equality/4-things-about-contraception","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/mozambique/209491","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/stories/topic/disaster-relief","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/sponsor-a-child/support-centre/resources-for-sponsors/sponsorship-faq","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/sri-lanka/196110","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/partnerships","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/nicaragua/174249","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/guatemala/198906","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/rwanda/206003","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/kenya","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/rwanda/206002","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/lebanon/204198","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/about-us/frequently-asked-questions","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/syria","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/chad/173942","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/sri-lanka/199979","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/haiti/191190","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/stories/topic/charitable-giving","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/sponsor-a-child/support-centre/resources-for-sponsors/meeting-your-sponsored-child","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/south-africa/200256","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/about-us/2019-heros-for-children-awards","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/el-salvador","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/stories?tagid=451&tagname=child%20marriage","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/philippines","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/mali/203124","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/mali/203123","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/honduras/195297","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/get-involved/volunteer/volunteer-at-special-events","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/uganda/196636","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/sri-lanka/199995","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/shop-gifts/gift-impact","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/bolivia/177632","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/indonesia/191467","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/stories/topic/refugees","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/mauritania","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/mali/172727","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/sri-lanka/204271","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/cambodia/181829","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/cambodia/174054","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/senegal/208330","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/costa-rica","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/stories/region/eastern-europe","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/mali/167267","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/our-work/haiti/174929","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
"AHREF","https://stg-www.worldvision.ca/stories?tagid=120&tagname=ambassador","https://my.worldvision.ca/home/index","0","","My World Vision","404","Not Found","true"
