"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow"
"AHREF","https://stg-www.worldvision.ca/","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/accessibility","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/terms-and-conditions","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/about-cookies","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/our-work","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/about-us","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/about-us/financial-accountability","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/privacy-and-security","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/donating-to-world-vision","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/sponsor-a-child","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/site-map","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/sponsor-a-child/support-centre","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/just-act","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/stories/advocacy/tips-for-youth-advocates","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/stories","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/get-involved","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
"AHREF","https://stg-www.worldvision.ca/stories/charitable-giving/fred-penner-somebody-believes-sponsored-child","https://catalogue.worldvision.ca/","0","","Shop Gift Catalogue","0","DNS lookup failed","true"
